Client,Bugs,Account,Bugs
Notification,لما الاكونت بيفتح محادثة لا تظهر اشعار للعميل,ادارة الحساب,الجيميل والبيانات لا تقبل التحديث
Meeting,اشعار الميتنج بيدي خطأ page not found,خانة Task + Results,محتاجين نضيف اوبشن رفع سكرين شوت للنتايج + Attach file للتاسكات
Log in,التطبيق لا يعمل بعد استخدام المرة الاولى,"خانة File , Reports",رفع الملفات لا يعمل لما برفع تقرير او فايل بيدي رسالة خطأ
اشعار بدأ مهمة جديدة,العميل مايقدرش يفتح التاسك ويتابع اللي تم الخانة not clickable,الرسالة الصوتية في الشات,لا تعمل بشكل سليم وبتدي خطأ
,,ارفاق ملف في الشات,لا تعمل بشكل سليم وبتدي خطأ
,,البريف,"اضافة طلب البريف كخطوة اجباري قبل بدأ العمل + يفضل موجود في تاب منفصل بحيث يقدر التيم يرجلعه في أي وقت
ملف البريف : Brief Clients Template Mohrek"
,,جزء الـ Strategy,محتاج يكون مفصل عن كده بحيث يكون واضح ايه فروع أو بنود كل Strategy منهم
,,تاريخ بدأ واستحقاق التاسكات,غير متاح ومفيش أوبشن نضيف التواريخ
,,نوع باقة العميل,"محتاجين نضيف جزء خاص بالـ Subscribe لكل عميل يكون فيها تفاصيل عن اشتراكه والباقة بتاعته 
ويكون متاح أوبشن الـ Upgrade في الباقة"
